gene,Gene.Name,g1_g4.p.value,log2FoldChange
AT1G01010,NAC001,0.091615125,0.4
AT1G01020,ARV1,0.539192004,0.2
AT1G01030,NGA3,0.216167147,-0.8
AT1G01040,DCL1,0.078794108,0.3
AT1G01050,PPA1,0.611226629,0.1
AT1G01060,LHY,4.62E-46,2.1
AT1G01070,,0.897219084,-0.1
AT1G01080,,1.47E-16,-1.3
AT1G01090,PDH-E1 ALPHA,0.749653029,0
AT1G01100,RPP1A,1.03E-14,0.8
AT1G01110,IQD18,0.078871005,-0.6
AT1G01120,KCS1,0.448937365,0.1
AT1G01130,,0.07030126,0.8
AT1G01140,CIPK9,0.33234242,-0.2
AT1G01160,GIF2,0.914871089,0
AT1G01170,,9.88E-12,-1.9
AT1G01180,,7.98E-08,-1.3
AT1G01190,CYP78A8,0.741288112,-0.1
AT1G01200,RABA3,0.952837026,0
AT1G01210,,0.119114625,0.5
AT1G01220,FKGP,0.046781107,0.3
AT1G01225,,0.423539997,-0.5
AT1G01230,,0.870315034,0
AT1G01240,,6.38E-27,-3.3
AT1G01250,ERF023,0.009984736,1.2
AT1G01260,BHLH13,0.934469109,0
AT1G01290,CNX3,0.858391491,0.1
AT1G01300,APF2,0.003658833,0.6
AT1G01320,,0.661914191,-0.1
AT1G01340,CNGC10,3.94E-07,1.5
AT1G01350,,0.0043952,0.5
AT1G01355,,0.799239276,0.3
AT1G01360,PYL9,0.013979818,-0.8
AT1G01370,HTR12,0.29562935,-0.5
AT1G01380,ETC1,0.331007467,0.8
AT1G01390,,0.0079143,-1.4
AT1G01420,UGT72B3,0.204642099,0.4
AT1G01430,TBL25,1.52E-14,-1.7
AT1G01440,,0.198869328,-0.3
AT1G01448,,0.420081119,-0.4
AT1G01453,,0.313369493,0.9
AT1G01470,LEA14,1.17E-12,1.6
AT1G01480,ACS2,0.026474139,1
AT1G01490,,7.81E-17,-1.1
AT1G01500,,8.39E-06,1
AT1G01510,AN,0.030616587,0.4
AT1G01520,,0.80339215,-0.1
AT1G01540,,0.280714418,-0.2
AT1G01550,BPS1,9.09E-11,0.8
AT1G01560,MPK11,1.28E-17,3.9
AT1G01570,,0.196756921,-0.7
AT1G01580,FRO2,5.34E-05,0.6
AT1G01600,CYP86A4,0.037215205,0.7
AT1G01610,GPAT4,0.169262983,-0.2
AT1G01620,PIP1-3,1.35E-11,-1.5
AT1G01630,,0.110656748,0.2
AT1G01640,,0.313981812,-0.5
AT1G01650,SPPL4,0.024014296,0.4
AT1G01660,,0.645792055,0.3
AT1G01670,PUB56,0.893260535,-0.1
AT1G01680,PUB54,3.05E-21,5.2
AT1G01690,ATPRD3,0.396825377,-0.4
AT1G01700,ATROPGEF2,0.923407827,-0.1
AT1G01710,,0.098163477,-0.4
AT1G01715,,0.356866775,0.5
AT1G01720,NAC002,1.37E-07,-0.8
AT1G01725,,0.81876886,-0.2
AT1G01730,,0.08213575,1
AT1G01740,BSK4,0.070688486,0.7
AT1G01750,ADF11,0.905188314,-0.1
AT1G01760,,0.294804572,0.6
AT1G01770,,9.32E-19,-1.7
AT1G01780,PLIM2B,0.037206018,-0.7
AT1G01790,KEA1,0.177851991,0.2
AT1G01800,,0.004175211,-0.5
AT1G01810,,0.027000886,1.2
AT1G01820,PEX11C,2.69E-05,-0.8
AT1G01830,,0.274959601,-0.3
AT1G01840,,0.15483165,-1.1
AT1G01860,PFC1,0.956376491,0
AT1G01880,GEN1,0.69301014,-0.3
AT1G01900,SBTI1.1,0.00047784,1.1
AT1G01910,,1.07E-05,0.6
AT1G01920,,0.054958039,-0.6
AT1G01930,,0.434069788,-0.2
AT1G01940,CYP18-1,9.20E-14,1.5
AT1G01950,ARK2,0.945212563,0
AT1G01960,BIG3,0.332996745,-0.2
AT1G01970,,0.213554543,0.3
AT1G01990,,0.004076573,0.5
AT1G02000,GAE2,0.543940755,0.1
AT1G02010,SEC1A,0.110997472,-0.5
AT1G02020,,0.699932182,-0.1
AT1G02030,ZAT1,0.867617942,-0.2
AT1G02050,PKSA,0.660983975,0.2
AT1G02060,,0.919735136,0
AT1G02065,SPL8,0.015469231,-0.9
AT1G02070,,0.469229954,-0.7
AT1G02080,,0.000578272,0.4
AT1G02090,CSN7,4.29E-10,0.9
AT1G02100,LCMT1,0.051441654,-0.4
AT1G02110,,0.281254844,-0.2
AT1G02120,VAD1,0.010455915,-0.4
AT1G02130,RABD2A,0.33716676,-0.2
AT1G02140,MEE63,0.000697972,0.4
AT1G02145,ALG12,0.00483517,-0.7
AT1G02150,,0.279297233,0.2
AT1G02160,,0.000150613,-0.7
AT1G02170,AMC1,0.134695437,-0.3
AT1G02180,,0.028539934,-1.1
AT1G02190,,0.108326675,-1.3
AT1G02205,CER1,1.81E-28,-1.6
AT1G02220,NAC003,0.622728436,0.2
AT1G02230,NAC004,0.247814173,1
AT1G02260,,0.870423369,0
AT1G02270,,2.47E-09,1
AT1G02280,TOC33,0.256465358,-0.2
AT1G02290,,0.01981789,-0.8
AT1G02300,CATHB1,0.003754535,-0.7
AT1G02305,CATHB2,1.52E-05,-0.7
AT1G02310,MAN1,0.157718039,1.1
AT1G02330,CSU2,1.84E-13,1
AT1G02335,GL22,0.62113991,-0.2
AT1G02340,HFR1,9.80E-06,-1.8
AT1G02350,,0.07215738,-1.4
AT1G02360,,0.247679882,-0.3
AT1G02370,,1.83E-12,1.6
AT1G02380,,0.167393033,-0.8
AT1G02390,GPAT2,0.77232804,-0.2
AT1G02400,GA2OX6,0.323150093,0.4
AT1G02405,,0.01614122,1.9
AT1G02410,COX11,0.170616765,0.3
AT1G02420,,0.477806221,0.6
AT1G02430,ATARFD1B,0.758472238,0.3
AT1G02450,NIMIN-1,0.02832341,1.6
AT1G02460,,2.12E-07,2
AT1G02470,,7.39E-05,2.6
AT1G02475,,0.000138258,-0.7
AT1G02500,SAM1,0.195681333,-0.2
AT1G02520,ABCB11,1.37E-31,1.9
AT1G02530,ABCB12,0.727393641,0.4
AT1G02560,CLPP5,0.811338147,0
AT1G02570,,0.668951813,-0.4
AT1G02580,MEA,0.129153761,1.4
AT1G02610,,0.000217999,-2.3
AT1G02630,ETN8,0.926002114,-0.1
AT1G02640,BXL2,2.86E-08,-1.6
AT1G02650,,0.959708098,0
AT1G02660,PLIP2,0.000164755,-1.1
AT1G02670,,0.270559839,-0.8
AT1G02680,TAF13,0.539673354,0.2
AT1G02690,IMPA-6,0.210079105,0.3
AT1G02700,,0.264704282,-0.7
AT1G02705,,0.240928856,1.1
AT1G02720,GATL5,1.72E-05,-1.1
AT1G02730,CSLD5,0.009396187,-0.5
AT1G02740,MRG2,0.037211098,0.6
AT1G02750,DI19-2,7.22E-13,1.7
AT1G02770,,0.971918562,0
AT1G02780,RPL19A,3.48E-13,1.1
AT1G02800,CEL2,0.00149762,-2.1
AT1G02810,PME7,4.64E-09,-1.6
AT1G02816,,0.009575839,-0.8
AT1G02820,LEA2,0.853090956,-0.1
AT1G02840,SR34,0.001294199,0.4
AT1G02850,BGLU11,0.175419086,0.3
AT1G02860,BAH1,0.456841549,-0.3
AT1G02870,,1.54E-30,2
AT1G02880,TPK1,0.014316037,0.7
AT1G02890,,0.506612708,0.1
AT1G02900,RALF1,0.710857955,-0.1
AT1G02910,LPA1,0.653328719,0.1
AT1G02920,GSTF7,0.258670796,0.3
AT1G02930,GSTF6,3.41E-17,1.6
AT1G02940,ATGSTF5,0.791966643,-0.3
AT1G02950,ATGSTF4,0.478298892,0.4
AT1G02960,,0.014330728,-0.7
AT1G02970,WEE1,0.584618512,-0.3
AT1G02980,CUL2,0.384831898,0.8
AT1G02990,,0.053288329,0.4
AT1G03000,PEX6,2.77E-06,-0.9
AT1G03010,,0.6248827,-0.5
AT1G03020,GRXS1,0.312324044,-0.8
AT1G03030,,0.002285681,-1
AT1G03040,,0.219616793,0.2
AT1G03055,D27,0.000577414,-1.3
AT1G03060,SPI,0.267997867,0.2
AT1G03070,LFG4,0.121177178,-1
AT1G03080,NET1D,0.982848823,0
AT1G03090,MCCA,4.66E-37,-3
AT1G03100,,2.05E-05,1.6
AT1G03106,,0.102088352,-1.5
AT1G03110,TRM82,1.04E-05,0.9
AT1G03120,ATRAB28,0.064309928,-1.1
AT1G03130,PSAD2,2.24E-106,-3
AT1G03140,,0.055247875,0.3
AT1G03150,NAA20,0.129576109,0.4
