gene,Gene.Name,g2_g5.p.value,log2FoldChange
AT1G01010,NAC001,0.760640442,0.2
AT1G01020,ARV1,0.804063717,-0.1
AT1G01030,NGA3,0.139495384,-0.7
AT1G01040,DCL1,0.487045661,0.2
AT1G01050,PPA1,0.440150988,-0.2
AT1G01060,LHY,0.004872562,-0.4
AT1G01070,,0.604260788,-0.2
AT1G01080,,0.5430274,-0.1
AT1G01090,PDH-E1 ALPHA,0.920577386,0
AT1G01100,RPP1A,0.009277629,-0.3
AT1G01110,IQD18,0.168411566,0.4
AT1G01120,KCS1,8.09E-25,1.2
AT1G01130,,7.85E-05,1.3
AT1G01140,CIPK9,0.100793009,0.3
AT1G01160,GIF2,4.04E-06,0.9
AT1G01170,,0.832671799,-0.1
AT1G01180,,0.004727974,-0.7
AT1G01190,CYP78A8,0.415135095,0.4
AT1G01200,RABA3,0.264836213,0.6
AT1G01210,,0.527249705,-0.3
AT1G01220,FKGP,0.818889979,0.1
AT1G01225,,0.611271953,-0.3
AT1G01230,,0.61269068,-0.2
AT1G01240,,0.009454352,-0.7
AT1G01250,ERF023,0.853593617,-0.1
AT1G01260,BHLH13,0.079308441,0.4
AT1G01290,CNX3,0.466993646,-0.3
AT1G01300,APF2,6.62E-15,1
AT1G01320,,0.080442638,0.2
AT1G01340,CNGC10,0.514423544,0.3
AT1G01350,,0.754256464,0.1
AT1G01360,PYL9,0.262893655,-0.4
AT1G01370,HTR12,0.580637301,0.2
AT1G01380,ETC1,0.752004873,-0.2
AT1G01390,,0.08399721,0.7
AT1G01420,UGT72B3,0.209142736,0.4
AT1G01430,TBL25,0.000942834,-0.6
AT1G01440,,0.304808567,0.3
AT1G01448,,0.056239034,-0.8
AT1G01470,LEA14,0.606761395,0.2
AT1G01490,,0.2786058,0.2
AT1G01500,,0.000293825,0.7
AT1G01510,AN,0.030360094,0.3
AT1G01520,,0.00180557,-1.1
AT1G01540,,8.65E-08,0.6
AT1G01550,BPS1,0.478846998,0.1
AT1G01570,,0.520102513,0.3
AT1G01580,FRO2,0.885461652,0
AT1G01600,CYP86A4,0.206888045,0.4
AT1G01610,GPAT4,8.63E-06,0.7
AT1G01620,PIP1-3,1.28E-07,0.7
AT1G01630,,0.908520391,0
AT1G01640,,0.605414647,-0.3
AT1G01650,SPPL4,0.614399114,0.1
AT1G01660,,0.075649119,-0.9
AT1G01690,ATPRD3,0.400633257,0.4
AT1G01700,ATROPGEF2,0.413352627,-0.5
AT1G01710,,0.555922671,-0.2
AT1G01715,,0.103528637,-0.8
AT1G01720,NAC002,0.976227997,0
AT1G01730,,0.026499913,0.5
AT1G01740,BSK4,0.630807317,-0.3
AT1G01750,ADF11,0.461473278,-0.4
AT1G01760,,0.584146061,0.3
AT1G01770,,0.825431066,-0.1
AT1G01780,PLIM2B,0.756304831,0.1
AT1G01790,KEA1,0.926471932,0
AT1G01800,,0.406645784,-0.2
AT1G01820,PEX11C,0.28286162,-0.2
AT1G01830,,0.697200629,0.1
AT1G01860,PFC1,0.105335686,0.5
AT1G01880,GEN1,0.657584068,0.3
AT1G01900,SBTI1.1,0.011176532,0.7
AT1G01910,,0.741159077,-0.1
AT1G01920,,0.990576954,0
AT1G01930,,0.847084507,0.1
AT1G01940,CYP18-1,0.060107263,0.5
AT1G01950,ARK2,0.038038992,0.4
AT1G01960,BIG3,0.019165749,0.3
AT1G01970,,0.956852062,0
AT1G01990,,0.001040047,0.7
AT1G02000,GAE2,0.800614818,0.1
AT1G02010,SEC1A,0.981386437,0
AT1G02020,,0.154197713,0.3
AT1G02050,PKSA,0.649829519,0.2
AT1G02060,,0.748166115,-0.2
AT1G02065,SPL8,0.664580018,0.2
AT1G02080,,0.954289582,0
AT1G02090,CSN7,0.308487094,0.2
AT1G02100,LCMT1,0.260436689,0.3
AT1G02110,,0.723394646,0.1
AT1G02120,VAD1,0.085757928,0.3
AT1G02130,RABD2A,0.002965608,0.5
AT1G02140,MEE63,0.334225988,-0.2
AT1G02145,ALG12,0.301886806,-0.3
AT1G02150,,0.028082361,0.3
AT1G02160,,0.629738076,-0.1
AT1G02170,AMC1,0.651477259,0.1
AT1G02180,,0.787121374,-0.2
AT1G02190,,0.639912895,-0.3
AT1G02205,CER1,0.829408505,0.1
AT1G02220,NAC003,0.523035943,-0.3
AT1G02260,,0.027148313,-0.5
AT1G02270,,0.552513422,-0.2
AT1G02280,TOC33,0.380601963,-0.2
AT1G02290,,0.837729547,0.1
AT1G02300,CATHB1,0.200939462,-0.4
AT1G02305,CATHB2,0.032575137,-0.4
AT1G02330,CSU2,0.984869196,0
AT1G02335,GL22,0.000356209,0.8
AT1G02340,HFR1,0.709042708,-0.2
AT1G02360,,0.167634761,0.4
AT1G02370,,0.769719376,0.2
AT1G02380,,0.281735731,-0.6
AT1G02390,GPAT2,0.688352341,-0.2
AT1G02400,GA2OX6,0.534377578,-0.3
AT1G02410,COX11,0.80916293,-0.1
AT1G02460,,0.473491447,0.4
AT1G02475,,0.095451925,-0.3
AT1G02500,SAM1,0.369534478,0.1
AT1G02520,ABCB11,0.803563317,0.1
AT1G02560,CLPP5,0.047113522,-0.3
AT1G02610,,0.8735654,0.1
AT1G02640,BXL2,1.44E-20,1.5
AT1G02660,PLIP2,4.60E-14,1.6
AT1G02670,,0.944345205,-0.1
AT1G02680,TAF13,0.806892595,0.1
AT1G02690,IMPA-6,0.772799471,-0.1
AT1G02700,,0.124501522,0.7
AT1G02720,GATL5,0.890845017,-0.1
AT1G02730,CSLD5,0.805366226,-0.1
AT1G02740,MRG2,0.8593008,-0.1
AT1G02750,DI19-2,0.954451266,0
AT1G02780,RPL19A,0.017686981,0.3
AT1G02800,CEL2,0.193246839,0.6
AT1G02810,PME7,0.000715191,0.7
AT1G02816,,0.045911857,-0.6
AT1G02820,LEA2,0.405701853,0.4
AT1G02840,SR34,0.210521299,-0.2
AT1G02850,BGLU11,0.023984036,-0.5
AT1G02860,BAH1,0.281949217,0.4
AT1G02870,,0.285934529,0.4
AT1G02880,TPK1,0.978555974,0
AT1G02890,,0.37768049,0.2
AT1G02900,RALF1,0.176003114,0.3
AT1G02910,LPA1,0.00729773,0.4
AT1G02920,GSTF7,0.273909681,-0.4
AT1G02930,GSTF6,2.74E-08,-1.1
AT1G02940,ATGSTF5,0.203511089,-0.7
AT1G02950,ATGSTF4,0.928293042,0.1
AT1G02960,,0.014567062,-0.6
AT1G02970,WEE1,0.587673549,-0.3
AT1G02990,,0.478952949,-0.2
AT1G03000,PEX6,0.873734018,-0.1
AT1G03030,,0.618181165,0.2
AT1G03040,,0.001034906,0.5
AT1G03055,D27,0.939270475,0
AT1G03060,SPI,0.617912194,0.1
AT1G03070,LFG4,0.788295401,0.2
AT1G03080,NET1D,0.086074963,-0.3
