gene,Gene.Name,g2_g6.p.value,log2foldChange
AT1G01010,NAC001,0.448588524,0.3
AT1G01020,ARV1,0.760470651,-0.1
AT1G01030,NGA3,0.152916716,-0.8
AT1G01040,DCL1,0.291885165,0.2
AT1G01050,PPA1,0.079343046,-0.4
AT1G01060,LHY,0.001238988,-0.5
AT1G01070,,0.108860466,-0.6
AT1G01080,,1.48E-11,-1.1
AT1G01090,PDH-E1 ALPHA,3.58E-05,0.5
AT1G01100,RPP1A,3.01E-06,0.5
AT1G01110,IQD18,0.217393111,-0.4
AT1G01120,KCS1,0.657883463,0.1
AT1G01130,,0.000808585,1.3
AT1G01140,CIPK9,0.748838193,-0.1
AT1G01160,GIF2,0.525612985,0.2
AT1G01170,,1.53E-11,-2.1
AT1G01180,,1.10E-07,-1.4
AT1G01190,CYP78A8,0.800735149,0.2
AT1G01200,RABA3,0.355801878,0.6
AT1G01210,,0.743142762,0.2
AT1G01220,FKGP,0.524617581,0.2
AT1G01225,,0.38812021,-0.6
AT1G01230,,0.801579727,0.1
AT1G01240,,1.87E-18,-3
AT1G01250,ERF023,0.000346098,1.2
AT1G01260,BHLH13,0.415853499,0.2
AT1G01290,CNX3,0.699810955,-0.2
AT1G01300,APF2,2.24E-17,1.2
AT1G01320,,0.004761909,-0.3
AT1G01340,CNGC10,4.34E-05,1.5
AT1G01350,,0.957096836,0
AT1G01355,,0.511868965,0.6
AT1G01360,PYL9,0.020150209,-0.7
AT1G01370,HTR12,0.98613368,0
AT1G01380,ETC1,0.918394966,0.1
AT1G01390,,0.002037604,-1.5
AT1G01420,UGT72B3,0.001643164,0.9
AT1G01430,TBL25,3.01E-07,-1
AT1G01440,,0.778677909,-0.1
AT1G01448,,0.013640988,-1.2
AT1G01453,,0.692406899,0.4
AT1G01470,LEA14,4.48E-14,1.3
AT1G01480,ACS2,0.265978665,0.8
AT1G01490,,1.10E-06,-0.7
AT1G01500,,9.14E-18,1.6
AT1G01510,AN,0.003277385,0.5
AT1G01520,,0.00071024,-1.3
AT1G01540,,0.821616525,0
AT1G01550,BPS1,0.690656068,0.1
AT1G01560,MPK11,1.79E-08,3.1
AT1G01570,,0.622807749,0.3
AT1G01580,FRO2,0.955579404,0
AT1G01600,CYP86A4,0.000549164,0.9
AT1G01610,GPAT4,0.75152108,0.1
AT1G01620,PIP1-3,1.00E-07,-0.9
AT1G01630,,0.331322769,0.2
AT1G01640,,0.578076003,-0.3
AT1G01650,SPPL4,0.033185468,0.4
AT1G01660,,0.668138765,-0.3
AT1G01670,PUB56,0.615210175,-0.5
AT1G01680,PUB54,1.77E-11,4.2
AT1G01690,ATPRD3,0.852897218,0.1
AT1G01695,,0.544106123,-0.5
AT1G01700,ATROPGEF2,0.421124432,-0.6
AT1G01710,,0.103984068,-0.4
AT1G01715,,0.939791501,-0.1
AT1G01720,NAC002,3.40E-06,-0.7
AT1G01725,,0.754027399,-0.3
AT1G01730,,8.21E-05,1
AT1G01740,BSK4,0.708899036,0.2
AT1G01750,ADF11,0.170497321,-1
AT1G01760,,0.47449913,0.4
AT1G01770,,2.10E-06,-1.2
AT1G01780,PLIM2B,0.053644749,-0.5
AT1G01790,KEA1,0.699790067,-0.1
AT1G01800,,0.008638253,-0.5
AT1G01810,,0.783378294,0.3
AT1G01820,PEX11C,0.593848255,0.1
AT1G01830,,0.336790324,-0.3
AT1G01840,,0.498582347,-0.6
AT1G01860,PFC1,0.395547548,0.4
AT1G01880,GEN1,0.962262561,0
AT1G01900,SBTI1.1,0.285718632,0.4
AT1G01910,,0.012639759,0.5
AT1G01920,,0.115189988,0.4
AT1G01930,,0.684138862,0.1
AT1G01940,CYP18-1,1.36E-12,1.5
AT1G01950,ARK2,0.203960212,-0.3
AT1G01960,BIG3,0.066097444,0.3
AT1G01970,,0.981237684,0
AT1G01990,,0.0025305,0.7
AT1G02000,GAE2,0.793024972,-0.1
AT1G02010,SEC1A,0.502822613,-0.3
AT1G02020,,0.380531931,0.2
AT1G02030,ZAT1,0.394814719,0.7
AT1G02050,PKSA,0.283218774,0.3
AT1G02060,,0.975877378,0
AT1G02065,SPL8,0.28932717,-0.4
AT1G02070,,0.804814336,-0.3
AT1G02080,,0.143453192,0.2
AT1G02090,CSN7,6.41E-06,0.7
AT1G02100,LCMT1,0.13607259,0.3
AT1G02110,,0.750154152,0.1
AT1G02120,VAD1,0.077104584,0.3
AT1G02130,RABD2A,0.195575695,0.3
AT1G02140,MEE63,0.012286602,0.4
AT1G02145,ALG12,0.311077876,-0.3
AT1G02150,,0.18604645,0.2
AT1G02160,,0.275714558,-0.3
AT1G02170,AMC1,0.52857939,-0.1
AT1G02180,,0.2703409,-0.5
AT1G02190,,0.254689967,-0.8
AT1G02205,CER1,1.47E-09,-1
AT1G02220,NAC003,0.035518865,0.8
AT1G02230,NAC004,0.879754701,-0.2
AT1G02260,,0.126722893,-0.4
AT1G02270,,2.62E-10,1.1
AT1G02280,TOC33,0.79834078,0.1
AT1G02290,,0.636374245,0.2
AT1G02300,CATHB1,0.406270484,0.3
AT1G02305,CATHB2,0.000273118,-0.6
AT1G02310,MAN1,0.306466514,0.9
AT1G02330,CSU2,4.72E-05,0.7
AT1G02335,GL22,0.05453674,0.5
AT1G02340,HFR1,0.029712401,-1.4
AT1G02350,,0.950460146,-0.1
AT1G02360,,0.016228755,0.6
AT1G02370,,3.61E-11,1.7
AT1G02380,,0.128545884,-0.9
AT1G02390,GPAT2,0.481909992,-0.4
AT1G02400,GA2OX6,0.79804365,-0.2
AT1G02405,,0.041787482,1.6
AT1G02410,COX11,0.664005862,-0.1
AT1G02420,,0.853324661,0.2
AT1G02430,ATARFD1B,0.980841267,0
AT1G02450,NIMIN-1,0.87173573,0.2
AT1G02460,,3.92E-11,2.3
AT1G02470,,0.968551073,0.1
AT1G02475,,3.13E-10,-1.3
AT1G02500,SAM1,0.779521649,-0.1
AT1G02520,ABCB11,4.83E-16,1.9
AT1G02530,ABCB12,0.967114611,-0.1
AT1G02560,CLPP5,0.000749329,-0.4
AT1G02570,,0.884096944,-0.2
AT1G02610,,0.280796658,-0.9
AT1G02620,,0.211945807,-1
