gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
BnaA01G0001400WE,776.5437596,-0.580737821,0.104084425,-5.579488222,2.41E-08,7.22E-06
BnaA01G0005800WE,70.47023832,-1.255226049,0.387850349,-3.236366942,0.001210617,0.030961938
BnaA01G0007600WE,29.7760305,1.019565292,0.327852477,3.109829458,0.001871954,0.041822516
BnaA01G0008200WE,173.6719292,-0.524723441,0.157070915,-3.340678591,0.000835739,0.024422005
BnaA01G0010300WE,71.79764682,-0.74399641,0.177996999,-4.179825575,2.92E-05,0.002298246
BnaA01G0022000WE,6.725848592,-6.096992804,1.370090471,-4.450065842,8.58E-06,0.000932844
BnaA01G0023000WE,833.0016587,1.040871759,0.245526919,4.239338657,2.24E-05,0.001914645
BnaA01G0030200WE,15.22125007,1.641933007,0.510347989,3.217281232,0.001294117,0.032426745
BnaA01G0038800WE,75.23199507,-0.883776778,0.287650854,-3.072394075,0.002123492,0.045358723
BnaA01G0038900WE,226.5979165,0.577339137,0.13223428,4.366032291,1.27E-05,0.001286629
BnaA01G0041700WE,524.1556603,-0.509627975,0.113485502,-4.490687939,7.10E-06,0.000804937
BnaA01G0047200WE,17.15285529,1.946738802,0.509498306,3.820893568,0.000132969,0.006881345
BnaA01G0048300WE,79.85737066,-0.931404923,0.265522843,-3.507814665,0.000451804,0.016275208
BnaA01G0059700WE,3831.292178,0.510200723,0.102927067,4.956915013,7.16E-07,0.000128205
BnaA01G0060200WE,44.71078806,0.827697196,0.269758142,3.06829366,0.002152849,0.04574218
BnaA01G0062400WE,82.08647579,0.587793121,0.185366329,3.170981069,0.00151925,0.036114399
BnaA01G0068500WE,20.37531252,7.69429992,1.008301778,7.630949473,2.33E-14,2.49E-11
BnaA01G0077500WE,113.614678,0.633543828,0.183547109,3.451668789,0.000557131,0.018915066
BnaA01G0080800WE,71.54126947,0.643639944,0.208138331,3.092366221,0.001985677,0.043408347
BnaA01G0083400WE,4.750268513,-3.834835129,1.071543107,-3.578796881,0.00034518,0.013657981
BnaA01G0084100WE,153.2817619,0.603198126,0.143016036,4.217695739,2.47E-05,0.002050969
BnaA01G0084300WE,96.48577778,0.691400484,0.209805345,3.2954379,0.000982684,0.027047878
BnaA01G0088200WE,170.0573982,0.744603162,0.220343093,3.37928977,0.000726734,0.022242578
BnaA01G0090200WE,166.6231262,0.670421543,0.171735324,3.903806895,9.47E-05,0.005391527
BnaA01G0094700WE,43.81410304,0.894355693,0.280786284,3.185182976,0.001446625,0.034973935
BnaA01G0099900WE,27.09892769,1.292163498,0.391455771,3.300918247,0.00096369,0.026637277
BnaA01G0115100WE,90.15576699,0.665566705,0.208659737,3.189722725,0.001424094,0.034605715
BnaA01G0120900WE,134.0637275,-0.589012878,0.17899486,-3.290669222,0.000999494,0.027291074
BnaA01G0121400WE,52.61731163,-1.728385357,0.415238175,-4.162395131,3.15E-05,0.002431449
BnaA01G0125000WE,271.1129592,-0.80530174,0.136450868,-5.901770752,3.60E-09,1.43E-06
BnaA01G0134200WE,73.25803708,0.875471897,0.282279379,3.101437667,0.001925834,0.042580975
BnaA01G0140700WE,1472.777241,-0.979414136,0.319383402,-3.066578066,0.002165243,0.045838423
BnaA01G0145000WE,22.75592681,-1.877466393,0.53020733,-3.541004221,0.000398607,0.014989065
BnaA01G0146600WE,226.9244134,-0.678300153,0.149144718,-4.547932777,5.42E-06,0.000663161
BnaA01G0155100WE,78.47577568,-0.572317393,0.177236875,-3.229110155,0.001241761,0.031446503
BnaA01G0156000WE,50.75696128,0.586051121,0.17535966,3.341995075,0.000831785,0.024363566
