Sequence.Name,SYMBOL,Sequence.Description,Enzyme.Code
AT1G01050,AtPPa1,Encodes a soluble protein with inorganic pyrophosphatase activity that is highly specific for Mg-inorganic pyrophosphate.,EC:3.6.1.1
AT1G01050,PPa1,Encodes a soluble protein with inorganic pyrophosphatase activity that is highly specific for Mg-inorganic pyrophosphate.,EC:3.6.1.1
AT1G01090,PDH-E1,pyruvate dehydrogenase E1 alpha subunit,EC:1.2.4.1
AT1G01190,CYP78A8,member of CYP78A,EC:1.14
AT1G01210,NA,NA,EC:2.7.7.6
AT1G01220,AtFKGP,Encodes a bifunctional enzyme that has both L-fucokinase and GDP-L-fucose pyrophosphorylase activities. It catalyzes the two steps of the L-fucose salvage pathway for the generation of activated GDP-L-fucose. This pathway seems to be of minor importance for cell wall polysaccharide biosynthesis compared to the de novo GDP-L-fucose biosynthesis pathway in Arabidopsis.,EC:2.7.1.52
AT1G01220,FKGP,Encodes a bifunctional enzyme that has both L-fucokinase and GDP-L-fucose pyrophosphorylase activities. It catalyzes the two steps of the L-fucose salvage pathway for the generation of activated GDP-L-fucose. This pathway seems to be of minor importance for cell wall polysaccharide biosynthesis compared to the de novo GDP-L-fucose biosynthesis pathway in Arabidopsis.,EC:2.7.1.52
AT1G01460,ATPIPK11,"Type I phosphatidylinositol-4-phosphate 5-kinase, subfamily A.",EC:2.7.1.68
AT1G01460,PIP5K10,"Type I phosphatidylinositol-4-phosphate 5-kinase, subfamily A.",EC:2.7.1.68
AT1G01460,PIPK11,"Type I phosphatidylinositol-4-phosphate 5-kinase, subfamily A.",EC:2.7.1.68
AT1G01480,ACS2,"a member of the 1-aminocyclopropane-1-carboxylate (ACC) synthase (S-adenosyl-L-methionine methylthioadenosine-lyase, EC:4.4.1.14) gene family,  isolated from a flower-specific cDNA library.",EC:4.4.1.14
AT1G01480,AT-ACC2,"a member of the 1-aminocyclopropane-1-carboxylate (ACC) synthase (S-adenosyl-L-methionine methylthioadenosine-lyase, EC:4.4.1.14) gene family,  isolated from a flower-specific cDNA library.",EC:4.4.1.14
AT1G01560,ATMPK11,member of MAP Kinase,EC:2.7.11.24
AT1G01560,MPK11,member of MAP Kinase,EC:2.7.11.24
AT1G01600,CYP86A4,Encodes a member of the CYP86A subfamily of cytochrome p450 genes. Expressed significantly at highest level in mature stems and flowers.,EC:1.14
AT1G01610,ATGPAT4,Encodes a protein with glycerol-3-phosphate acyltransferase activity. Involved in cutin assembly. Is functional redundant of GPAT8.,EC:2.3.1.15
AT1G01610,GPAT4,Encodes a protein with glycerol-3-phosphate acyltransferase activity. Involved in cutin assembly. Is functional redundant of GPAT8.,EC:2.3.1.15
AT1G01710,NA,NA,EC:3.1.2.2
AT1G02000,GAE2,UDP-D-glucuronate 4-epimerase,EC:5.1.3.6
AT1G02145,ALG12,NA,EC:2.4.1.130
AT1G02145,EBS4,NA,EC:2.4.1.130
AT1G02145,SBI2,NA,EC:2.4.1.130
AT1G02390,ATGPAT2,Encodes a member of a family of proteins with glycerol-3-phosphate acyltransferase activity.,EC:2.3.1.15
AT1G02390,GPAT2,Encodes a member of a family of proteins with glycerol-3-phosphate acyltransferase activity.,EC:2.3.1.15
AT1G02500,AtSAM1,encodes a S-adenosylmethionine synthetase. SAM1 is regulated by protein S-nitrosylation. The covalent binding of nitric oxide (NO) to the Cys114 residue inhibits the enzyme activity.,EC:2.5.1.6
AT1G02500,MAT1,encodes a S-adenosylmethionine synthetase. SAM1 is regulated by protein S-nitrosylation. The covalent binding of nitric oxide (NO) to the Cys114 residue inhibits the enzyme activity.,EC:2.5.1.6
AT1G02500,METK1,encodes a S-adenosylmethionine synthetase. SAM1 is regulated by protein S-nitrosylation. The covalent binding of nitric oxide (NO) to the Cys114 residue inhibits the enzyme activity.,EC:2.5.1.6
AT1G02500,SAM-1,encodes a S-adenosylmethionine synthetase. SAM1 is regulated by protein S-nitrosylation. The covalent binding of nitric oxide (NO) to the Cys114 residue inhibits the enzyme activity.,EC:2.5.1.6
AT1G02500,SAM1,encodes a S-adenosylmethionine synthetase. SAM1 is regulated by protein S-nitrosylation. The covalent binding of nitric oxide (NO) to the Cys114 residue inhibits the enzyme activity.,EC:2.5.1.6
AT1G02500,SAMS1,encodes a S-adenosylmethionine synthetase. SAM1 is regulated by protein S-nitrosylation. The covalent binding of nitric oxide (NO) to the Cys114 residue inhibits the enzyme activity.,EC:2.5.1.6
AT1G02640,ATBXL2,encodes a protein similar to a beta-xylosidase located in the extracellular matrix. This is a member of glycosyl hydrolase family 3 and has six other closely related members.,EC:3.2.1.21
AT1G02640,BXL2,encodes a protein similar to a beta-xylosidase located in the extracellular matrix. This is a member of glycosyl hydrolase family 3 and has six other closely related members.,EC:3.2.1.21
AT1G02730,ATCSLD5,"Encodes a gene similar to cellulose synthase. Knock-out mutant has reduced growth, reduced xylan level and reduced xylan synthase activity in stems.",EC:2.4.2.24
AT1G02730,CSLD5,"Encodes a gene similar to cellulose synthase. Knock-out mutant has reduced growth, reduced xylan level and reduced xylan synthase activity in stems.",EC:2.4.2.24
AT1G02730,SOS6,"Encodes a gene similar to cellulose synthase. Knock-out mutant has reduced growth, reduced xylan level and reduced xylan synthase activity in stems.",EC:2.4.2.24
AT1G02790,PG45,encodes a exopolygalacturonase.,EC:3.2.1.67
AT1G02790,PGA4,encodes a exopolygalacturonase.,EC:3.2.1.67
AT1G02920,ATGST11,Encodes glutathione transferase belonging to the phi class of GSTs. Naming convention according to Wagner et al. (2002).,EC:2.5.1.18
AT1G02920,ATGSTF7,Encodes glutathione transferase belonging to the phi class of GSTs. Naming convention according to Wagner et al. (2002).,EC:2.5.1.18
AT1G02920,ATGSTF8,Encodes glutathione transferase belonging to the phi class of GSTs. Naming convention according to Wagner et al. (2002).,EC:2.5.1.18
AT1G02920,GST11,Encodes glutathione transferase belonging to the phi class of GSTs. Naming convention according to Wagner et al. (2002).,EC:2.5.1.18
AT1G02920,GSTF7,Encodes glutathione transferase belonging to the phi class of GSTs. Naming convention according to Wagner et al. (2002).,EC:2.5.1.18
AT1G02940,ATGSTF5,Encodes glutathione transferase belonging to the phi class of GSTs. Naming convention according to Wagner et al. (2002).,EC:2.5.1.18
AT1G02940,GSTF5,Encodes glutathione transferase belonging to the phi class of GSTs. Naming convention according to Wagner et al. (2002).,EC:2.5.1.18
AT1G02950,ATGSTF4,Encodes glutathione transferase belonging to the phi class of GSTs. Naming convention according to Wagner et al. (2002).,EC:2.5.1.18
AT1G02950,GST31,Encodes glutathione transferase belonging to the phi class of GSTs. Naming convention according to Wagner et al. (2002).,EC:2.5.1.18
